epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,16094,0.75905,1.423,1.33344,0.29563,0.38393,0.2603,0.15526,1.52959,2.59602,1.64505,0.000635544,0.000635544,0.000635544
27,16278.2,0.72971,1.41008,1.32652,0.32741,0.4281,0.34136,0.18814,1.50125,2.29192,1.68587,0.000594286,0.000594286,0.000594286
28,16476.8,0.73214,1.34121,1.33654,0.41184,0.34545,0.35883,0.19747,1.44442,2.24793,1.5451,0.000553027,0.000553027,0.000553027
29,16679.3,0.71048,1.33768,1.29708,0.44783,0.375,0.33545,0.17938,1.48097,2.19038,1.56848,0.000511769,0.000511769,0.000511769
30,16886.7,0.69436,1.3046,1.29767,0.48978,0.26786,0.30743,0.17593,1.43495,2.25257,1.56141,0.000470511,0.000470511,0.000470511
31,17067.7,0.67945,1.28893,1.27661,0.53417,0.34821,0.37971,0.21246,1.388,2.34163,1.51868,0.000429253,0.000429253,0.000429253
32,17247.3,0.66794,1.3021,1.27183,0.7199,0.26786,0.35181,0.21054,1.40582,2.19274,1.54049,0.000387994,0.000387994,0.000387994
33,17426,0.69078,1.27649,1.31005,0.31952,0.34821,0.285,0.16718,1.45399,2.47878,1.56858,0.000346736,0.000346736,0.000346736
34,17604.5,0.66276,1.24841,1.27764,0.52705,0.3125,0.34977,0.20919,1.43399,2.41072,1.56909,0.000305478,0.000305478,0.000305478
35,17783.3,0.64746,1.18939,1.23693,0.38859,0.38393,0.32475,0.19598,1.41574,2.35301,1.56305,0.00026422,0.00026422,0.00026422
36,17963.6,0.64344,1.17728,1.23872,0.57477,0.33036,0.34618,0.20732,1.46682,2.29465,1.58617,0.000222961,0.000222961,0.000222961
37,18156.7,0.62103,1.16775,1.24327,0.48448,0.30357,0.33572,0.21155,1.48525,2.37752,1.58602,0.000181703,0.000181703,0.000181703
38,18354.7,0.62601,1.16015,1.23598,0.43988,0.33929,0.36103,0.22937,1.42318,2.23767,1.54176,0.000140445,0.000140445,0.000140445
39,18537.8,0.60159,1.12737,1.19912,0.5522,0.28074,0.34818,0.21941,1.409,2.3383,1.54355,9.91865e-05,9.91865e-05,9.91865e-05
40,18726,0.59586,1.14481,1.22854,0.53555,0.30639,0.35108,0.22185,1.39391,2.32265,1.52631,5.79283e-05,5.79283e-05,5.79283e-05
