epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.406,1.05368,3.26118,1.58297,0.61722,0.13393,0.10394,0.04137,1.71783,3.61105,2.4443,0.000541775,0.000541775,0.000541775
2,358.26,1.0494,2.84263,1.60613,0.16231,0.23214,0.12151,0.04622,1.85521,4.06521,3.02988,0.00107028,0.00107028,0.00107028
3,535.001,1.13119,2.64416,1.71601,0.11866,0.26786,0.12624,0.06257,2.06731,9.97529,2.87298,0.00157128,0.00157128,0.00157128
4,714.887,1.07138,2.4362,1.70012,0.14217,0.25893,0.09467,0.04138,1.89831,3.85939,2.58589,0.00154323,0.00154323,0.00154323
5,894.965,1.06813,2.24921,1.67889,0.59749,0.16071,0.08823,0.03624,2.05429,3.74538,2.61769,0.00150197,0.00150197,0.00150197
6,1074.98,1.01855,2.18542,1.65102,0.10617,0.26786,0.08612,0.03835,2.06152,3.23023,2.78472,0.00146071,0.00146071,0.00146071
7,1256.11,1.01837,2.04143,1.63331,0.16231,0.24107,0.1028,0.04403,2.14029,2.98011,2.75288,0.00141945,0.00141945,0.00141945
8,1437.15,1.00439,1.98483,1.62103,0.6228,0.1875,0.13185,0.05676,1.97572,2.88557,2.37824,0.00137819,0.00137819,0.00137819
9,1619.11,1.03605,1.90972,1.62803,0.20126,0.3082,0.15239,0.07035,1.80867,2.50899,2.0647,0.00133693,0.00133693,0.00133693
10,1800.66,0.97125,1.88066,1.60714,0.16383,0.32143,0.12772,0.05365,1.94361,2.8141,2.08221,0.00129568,0.00129568,0.00129568
11,1982.6,0.96229,1.8216,1.57305,0.21782,0.1875,0.10424,0.04085,1.84527,2.87426,2.33447,0.00125442,0.00125442,0.00125442
12,2165.94,0.88312,1.79356,1.51194,0.64858,0.21429,0.173,0.07593,1.73695,2.64342,1.97368,0.00121316,0.00121316,0.00121316
13,2347.72,0.88702,1.75062,1.4802,0.14647,0.375,0.17509,0.09433,1.65872,2.35012,1.83812,0.0011719,0.0011719,0.0011719
14,2531.35,0.90131,1.71072,1.48277,0.24545,0.38393,0.2317,0.11735,1.63263,2.33258,1.75257,0.00113064,0.00113064,0.00113064
15,2715.19,0.87146,1.7017,1.49476,0.36098,0.28571,0.22318,0.11361,1.56687,2.26106,1.67321,0.00108938,0.00108938,0.00108938
16,2898.72,0.84867,1.67558,1.4459,0.31653,0.375,0.20933,0.09414,1.78194,2.52577,1.98229,0.00104813,0.00104813,0.00104813
17,3082.86,0.86282,1.68125,1.46887,0.25829,0.28071,0.22609,0.1142,1.70125,2.29208,1.85839,0.00100687,0.00100687,0.00100687
18,3266.67,0.83275,1.62777,1.44642,0.33458,0.29464,0.19546,0.0981,1.72723,2.35462,1.98846,0.00096561,0.00096561,0.00096561
19,3451.03,0.79768,1.60933,1.42982,0.37445,0.28571,0.24144,0.12681,1.62866,2.33584,1.78074,0.000924352,0.000924352,0.000924352
20,3634.89,0.82277,1.57851,1.42376,0.24989,0.41071,0.23828,0.12633,1.6415,2.30943,1.82551,0.000883093,0.000883093,0.000883093
21,3819.18,0.78849,1.517,1.39456,0.37537,0.30357,0.29228,0.14922,1.64076,2.20484,1.80948,0.000841835,0.000841835,0.000841835
22,15302.4,0.79237,1.48975,1.40126,0.44092,0.3125,0.28978,0.16426,1.58472,2.391,1.6697,0.000800577,0.000800577,0.000800577
23,15514.8,0.79207,1.47898,1.40125,0.34007,0.34821,0.30647,0.16864,1.48205,2.29916,1.72726,0.000759318,0.000759318,0.000759318
24,15706.3,0.77188,1.47335,1.36486,0.41779,0.34821,0.28977,0.16725,1.50159,2.24934,1.63607,0.00071806,0.00071806,0.00071806
25,15900.4,0.77555,1.45796,1.35544,0.50213,0.33036,0.29043,0.16191,1.54609,2.38411,1.65498,0.000676802,0.000676802,0.000676802
